case_number,suspect_name,vehicle_plate,date,year,primary_type,description,block,location_description,district,beat,ward,community_area,iucr,fbi_code,arrest,domestic
JC116611,Jerome Wright,IL-7846-WE,2026-05-11 09:41:00,2026,THEFT,OVER $500,1200XX S WABASH AVE,COMMERCIAL BUILDING,024,2411,49,1,0820,06,False,False
JC116724,Marcus Moore,,2026-01-27 12:50:00,2026,CRIMINAL DAMAGE,TO PROPERTY,9600XX N CLARK ST,STREET,010,1013,24,29,1310,14,False,True
JC116837,Jamal Brown,,2026-05-15 20:34:00,2026,CRIMINAL DAMAGE,TO PROPERTY,6500XX W MADISON ST,GAS STATION / CONVENIENCE STORE,016,1622,45,15,1310,14,False,False
JC116950,Kendrick White,IL-4027-ZM,2026-03-01 23:21:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,8700XX W 79TH ST,APARTMENT,007,0724,16,68,1811,18,True,False
JC117063,Darnell Nguyen,,2026-04-01 08:24:00,2026,BURGLARY,FORCIBLE ENTRY,9700XX W FULLERTON AVE,PARKING LOT,009,0914,15,61,0610,05,False,True
JC117176,Brian Moore,,2026-04-02 21:07:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2100XX S HALSTED ST,,014,1422,1,24,1310,14,False,False
JC117289,Justin Perez,,2026-06-20 07:14:00,2026,ROBBERY,ARMED: HANDGUN,2000XX S WESTERN AVE,BAR OR TAVERN,016,1622,45,15,031A,03,False,False
JC117402,Cedric Washington,,2026-04-25 07:43:00,2026,BATTERY,SIMPLE ASSAULT,5800XX W 47TH ST,BAR OR TAVERN,018,1831,43,7,0460,08B,False,True
JC117515,Devon Nguyen,,2026-04-19 17:09:00,2026,ROBBERY,ARMED: HANDGUN,6700XX W 63RD ST,SIDEWALK,016,1622,45,15,031A,03,False,False
JC117628,Isaiah Moore,,2026-01-15 04:32:00,2026,ASSAULT,AGGRAVATED: HANDGUN,7300XX W FULLERTON AVE,RESTAURANT,002,0222,4,38,051A,04A,False,False
JC117741,Tyler Washington,,2026-04-19 02:02:00,2026,ASSAULT,AGGRAVATED: HANDGUN,9000XX S MICHIGAN AVE,RESTAURANT,003,0313,20,42,051A,04A,False,False
JC117854,Trevon Johnson,,2026-03-25 04:49:00,2026,ASSAULT,AGGRAVATED: HANDGUN,4900XX S MICHIGAN AVE,ALLEY,016,1622,45,15,051A,04A,False,False
JC117967,Dominic Moore,,2026-06-04 05:34:00,2026,ASSAULT,AGGRAVATED: HANDGUN,1700XX W 47TH ST,STREET,008,0815,13,65,051A,04A,False,False
JC118080,Malik Ortiz,,2026-07-27 07:15:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2000XX S MICHIGAN AVE,RESIDENCE,009,0914,15,61,1310,14,False,False
JC118193,Tyler Wilson,,2026-01-08 06:04:00,2026,BATTERY,SIMPLE ASSAULT,0500XX S DR MARTIN LUTHER KING JR DR,COMMERCIAL BUILDING,016,1622,45,15,0460,08B,False,True
JC118306,Gabriel Hill,,2026-04-25 01:08:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,9400XX W CHICAGO AVE,PARKING LOT,020,2012,40,4,1811,18,True,False
JC118419,Hector Martinez,,2026-03-22 16:14:00,2026,ASSAULT,AGGRAVATED: HANDGUN,3600XX S HALSTED ST,RESTAURANT,002,0222,4,38,051A,04A,False,False
JC118532,Darnell Thompson,IL-2674-CC,2026-06-21 21:24:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,5400XX W 55TH ST,APARTMENT,015,1531,29,25,0910,07,False,False
JC118645,Lamar Anderson,,2026-08-02 17:26:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6800XX N CICERO AVE,ALLEY,005,0511,9,49,051A,04A,True,False
JC118758,Justin Hill,,2026-06-03 17:46:00,2026,BURGLARY,FORCIBLE ENTRY,3500XX N MILWAUKEE AVE,,014,1422,1,24,0610,05,True,False
JC118871,Malik Walker,,2026-04-16 06:55:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,0200XX S HALSTED ST,RESIDENCE,007,0724,16,68,0910,07,False,False
JC118984,Maurice Moore,,2026-07-08 17:20:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,6000XX W ROOSEVELT RD,,019,1923,44,6,1811,18,True,False
JC119097,Kevin Torres,IL-7841-HF,2026-02-26 23:30:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,4800XX S COTTAGE GROVE AVE,ALLEY,011,1124,28,26,0910,07,False,False
JC119210,Corey Anderson,,2026-04-13 18:53:00,2026,BURGLARY,FORCIBLE ENTRY,7100XX S WESTERN AVE,,024,2411,49,1,0610,05,False,False
JC119323,Deandre Wright,IL-2217-YR,2026-08-15 05:46:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,1800XX N CLARK ST,DEPARTMENT STORE,019,1923,44,6,0910,07,False,False
JC119436,Devon Allen,,2026-01-14 04:53:00,2026,BURGLARY,FORCIBLE ENTRY,9100XX W BELMONT AVE,STREET,005,0511,9,49,0610,05,False,False
JC119549,Dominic King,,2026-08-22 15:01:00,2026,THEFT,OVER $500,7100XX N CICERO AVE,STREET,015,1531,29,25,0820,06,False,False
JC119662,Kendrick King,,2026-07-26 05:06:00,2026,BATTERY,SIMPLE ASSAULT,2000XX W 47TH ST,RESIDENCE,008,0815,13,65,0460,08B,True,True
JC119775,Andre Ortiz,,2026-02-12 12:29:00,2026,BURGLARY,FORCIBLE ENTRY,2900XX W 55TH ST,,010,1013,24,29,0610,05,False,False
JC119888,Corey Torres,,2026-01-21 00:44:00,2026,ROBBERY,ARMED: HANDGUN,6400XX W BELMONT AVE,,015,1531,29,25,031A,03,False,False
JC120001,Terrence Wright,,2026-01-08 06:57:00,2026,CRIMINAL DAMAGE,TO PROPERTY,0600XX N BROADWAY,,003,0313,20,42,1310,14,False,True
JC120114,Darnell Rodriguez,,2026-06-01 06:37:00,2026,ROBBERY,ARMED: HANDGUN,9200XX S WABASH AVE,SIDEWALK,014,1422,1,24,031A,03,False,False
JC120227,Darius Sanchez,,2026-06-13 23:08:00,2026,BATTERY,SIMPLE ASSAULT,9600XX W 47TH ST,STREET,012,1212,25,28,0460,08B,True,True
JC120340,Elijah Thompson,,2026-07-25 10:01:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,6300XX W FULLERTON AVE,PARKING LOT,008,0815,13,65,1811,18,True,False
JC120453,Carlos Thompson,,2026-02-25 19:18:00,2026,BURGLARY,FORCIBLE ENTRY,1000XX W 55TH ST,GAS STATION / CONVENIENCE STORE,003,0313,20,42,0610,05,False,False
JC120566,Darius Jones,,2026-06-12 03:05:00,2026,THEFT,OVER $500,5700XX S HALSTED ST,GAS STATION / CONVENIENCE STORE,012,1212,25,28,0820,06,True,False
JC120679,Dante Thompson,,2026-07-04 00:05:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,1200XX N CICERO AVE,COMMERCIAL BUILDING,022,2213,19,72,0910,07,True,False
JC120792,Terrence Young,,2026-04-19 16:10:00,2026,ASSAULT,AGGRAVATED: HANDGUN,1800XX N CLARK ST,GAS STATION / CONVENIENCE STORE,009,0914,15,61,051A,04A,True,True
JC120905,Justin Flores,,2026-05-16 02:23:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,9300XX W CHICAGO AVE,DEPARTMENT STORE,024,2411,49,1,1811,18,True,False
JC121018,Justin Jones,,2026-07-11 19:24:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,4300XX W FULLERTON AVE,,015,1531,29,25,0910,07,False,False
JC121131,Gabriel Wilson,,2026-08-11 05:25:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,9500XX S HALSTED ST,DEPARTMENT STORE,024,2411,49,1,0910,07,False,False
JC121244,Isaiah Lopez,,2026-06-04 18:12:00,2026,ROBBERY,ARMED: HANDGUN,9900XX S COMMERCIAL AVE,STREET,019,1923,44,6,031A,03,False,False
JC121357,Jalen Thompson,,2026-07-22 15:08:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3300XX W CHICAGO AVE,APARTMENT,025,2515,30,19,1811,18,True,False
JC121470,Derek Hill,,2026-07-18 16:59:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0500XX N CICERO AVE,BAR OR TAVERN,012,1212,25,28,051A,04A,False,True
JC121583,Xavier Martin,IL-8668-NZ,2026-06-06 20:39:00,2026,THEFT,OVER $500,8300XX W 79TH ST,,025,2515,30,19,0820,06,False,False
JC121696,Brian Garcia,,2026-04-15 11:25:00,2026,CRIMINAL DAMAGE,TO PROPERTY,8700XX S WABASH AVE,BAR OR TAVERN,020,2012,40,4,1310,14,False,True
JC121809,Devon King,,2026-07-03 03:53:00,2026,ROBBERY,ARMED: HANDGUN,4000XX S MICHIGAN AVE,DEPARTMENT STORE,011,1124,28,26,031A,03,False,False
JC121922,Darius Rodriguez,,2026-08-11 02:19:00,2026,THEFT,OVER $500,1500XX W 55TH ST,PARKING LOT,001,0111,42,32,0820,06,False,False
JC122035,Deandre Sanchez,,2026-03-11 17:27:00,2026,CRIMINAL DAMAGE,TO PROPERTY,5200XX W CHICAGO AVE,APARTMENT,024,2411,49,1,1310,14,False,False
JC122148,Brandon Torres,,2026-08-19 13:24:00,2026,THEFT,OVER $500,2800XX W 55TH ST,GAS STATION / CONVENIENCE STORE,007,0724,16,68,0820,06,True,False
JC122261,Dante Hill,IL-1771-WD,2026-06-07 14:07:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,6300XX S COMMERCIAL AVE,,018,1831,43,7,1811,18,True,False
JC122374,Anthony Jackson,IL-9369-KP,2026-03-27 21:45:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,7600XX S DR MARTIN LUTHER KING JR DR,,003,0313,20,42,1811,18,True,False
JC122487,Anthony Martinez,IL-2824-AH,2026-07-14 05:31:00,2026,ROBBERY,ARMED: HANDGUN,2200XX N CICERO AVE,GAS STATION / CONVENIENCE STORE,017,1732,35,21,031A,03,False,False
JC122600,Damian Young,,2026-08-05 06:52:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6500XX N CICERO AVE,DEPARTMENT STORE,024,2411,49,1,051A,04A,False,False
JC122713,Derek Taylor,,2026-02-19 00:50:00,2026,BURGLARY,FORCIBLE ENTRY,0500XX S HALSTED ST,RESIDENCE,009,0914,15,61,0610,05,False,False
JC122826,Kevin Clark,,2026-08-18 16:07:00,2026,BATTERY,SIMPLE ASSAULT,7000XX N BROADWAY,RESTAURANT,012,1212,25,28,0460,08B,False,False
JC122939,Lamar Lopez,,2026-04-10 01:28:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,1200XX S MICHIGAN AVE,SIDEWALK,016,1622,45,15,1811,18,True,False
JC123052,Derek Thomas,,2026-07-06 19:08:00,2026,BURGLARY,FORCIBLE ENTRY,0800XX S COTTAGE GROVE AVE,PARKING LOT,020,2012,40,4,0610,05,False,False
JC123165,Terrence Jones,,2026-05-10 18:17:00,2026,BATTERY,SIMPLE ASSAULT,9700XX W MADISON ST,STREET,015,1531,29,25,0460,08B,False,True
JC123278,Terrence Harris,,2026-06-27 07:48:00,2026,ASSAULT,AGGRAVATED: HANDGUN,1900XX S WESTERN AVE,,020,2012,40,4,051A,04A,False,True
JC123391,Dante Nguyen,,2026-02-13 16:47:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,4800XX W 55TH ST,DEPARTMENT STORE,016,1622,45,15,1811,18,True,False
JC123504,Jalen Lopez,IL-3139-OM,2026-08-21 21:44:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,6900XX W BELMONT AVE,RESIDENCE,014,1422,1,24,0910,07,False,False
JC123617,Jose Clark,,2026-06-22 01:02:00,2026,BATTERY,SIMPLE ASSAULT,5900XX N KEDZIE AVE,SIDEWALK,001,0111,42,32,0460,08B,False,False
JC123730,Andre Perez,IL-4836-LC,2026-03-21 09:10:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,8400XX W BELMONT AVE,GAS STATION / CONVENIENCE STORE,012,1212,25,28,1811,18,True,False
JC123843,Kareem Vance,,2026-02-01 06:30:00,2026,BATTERY,SIMPLE ASSAULT,7600XX W MADISON ST,RESTAURANT,008,0815,13,65,0460,08B,True,True
JC123956,Darius Williams,,2026-07-23 04:30:00,2026,BATTERY,SIMPLE ASSAULT,5000XX W CHICAGO AVE,BAR OR TAVERN,003,0313,20,42,0460,08B,True,False
JC124069,Jose Clark,,2026-03-21 21:09:00,2026,BATTERY,SIMPLE ASSAULT,7300XX W 47TH ST,COMMERCIAL BUILDING,001,0111,42,32,0460,08B,False,True
JC124182,Hector Thompson,,2026-07-20 21:28:00,2026,BURGLARY,FORCIBLE ENTRY,1300XX W BELMONT AVE,SIDEWALK,005,0511,9,49,0610,05,False,False
JC124295,Justin Taylor,,2026-04-09 20:05:00,2026,BURGLARY,FORCIBLE ENTRY,7700XX N CICERO AVE,BAR OR TAVERN,022,2213,19,72,0610,05,False,False
JC124408,Tyler Wilson,,2026-05-07 16:38:00,2026,BURGLARY,FORCIBLE ENTRY,5100XX N DAMEN AVE,,010,1013,24,29,0610,05,False,False
JC124521,Cedric Wright,,2026-02-17 00:23:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,5000XX W MADISON ST,ALLEY,020,2012,40,4,0910,07,False,False
JC124634,Xavier Allen,,2026-02-01 18:04:00,2026,THEFT,OVER $500,2800XX N BROADWAY,STREET,002,0222,4,38,0820,06,False,False
JC124747,Brian Lopez,IL-2083-IL,2026-07-23 12:05:00,2026,ROBBERY,ARMED: HANDGUN,1100XX N BROADWAY,SIDEWALK,010,1013,24,29,031A,03,False,False
JC124860,Tyler Moore,IL-3547-FT,2026-04-02 07:05:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5900XX S STATE ST,COMMERCIAL BUILDING,022,2213,19,72,051A,04A,False,False
JC124973,Terrence Brown,,2026-01-06 15:22:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,4800XX N CLARK ST,BAR OR TAVERN,005,0511,9,49,1811,18,True,False
JC125086,Tyler Young,,2026-05-17 02:16:00,2026,BATTERY,SIMPLE ASSAULT,5900XX S WESTERN AVE,PARKING LOT,018,1831,43,7,0460,08B,False,True
JC125199,Kevin Vance,,2026-02-19 21:46:00,2026,BATTERY,SIMPLE ASSAULT,9500XX W CHICAGO AVE,STREET,018,1831,43,7,0460,08B,True,True
JC125312,Dante Thomas,IL-1862-EU,2026-03-06 01:35:00,2026,ASSAULT,AGGRAVATED: HANDGUN,4200XX W CHICAGO AVE,ALLEY,008,0815,13,65,051A,04A,False,False
JC125425,Elijah Ramirez,,2026-01-13 02:56:00,2026,CRIMINAL DAMAGE,TO PROPERTY,4000XX S HALSTED ST,SIDEWALK,011,1124,28,26,1310,14,True,False
JC125538,Derek Wilson,IL-1157-YA,2026-05-24 19:15:00,2026,CRIMINAL DAMAGE,TO PROPERTY,7600XX S MICHIGAN AVE,RESIDENCE,017,1732,35,21,1310,14,False,False
JC125651,Damian Young,IL-9935-CK,2026-07-28 23:46:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,2700XX S STATE ST,RESIDENCE,018,1831,43,7,1811,18,False,False
JC125764,Darius Allen,IL-8126-RD,2026-04-28 16:26:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,9600XX W FULLERTON AVE,COMMERCIAL BUILDING,003,0313,20,42,0910,07,False,False
JC125877,Kareem Thomas,IL-2785-EE,2026-05-09 10:59:00,2026,ASSAULT,AGGRAVATED: HANDGUN,9500XX W 55TH ST,PARKING LOT,011,1124,28,26,051A,04A,True,False
JC125990,Isaiah Anderson,,2026-08-11 13:07:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,2700XX S WABASH AVE,GAS STATION / CONVENIENCE STORE,016,1622,45,15,0910,07,False,False
JC126103,Lamar Lee,,2026-05-27 22:44:00,2026,THEFT,OVER $500,4200XX S COTTAGE GROVE AVE,SIDEWALK,005,0511,9,49,0820,06,False,True
JC126216,Darius Ramirez,,2026-03-01 12:54:00,2026,CRIMINAL DAMAGE,TO PROPERTY,9600XX N CICERO AVE,RESIDENCE,019,1923,44,6,1310,14,False,False
JC126329,Andre Nguyen,IL-4239-XL,2026-01-27 07:08:00,2026,BURGLARY,FORCIBLE ENTRY,4800XX W ROOSEVELT RD,,025,2515,30,19,0610,05,False,False
JC126442,Jalen White,,2026-03-03 10:07:00,2026,THEFT,OVER $500,0700XX W FULLERTON AVE,COMMERCIAL BUILDING,006,0623,6,69,0820,06,False,False
JC126555,Kendrick Flores,,2026-06-07 05:17:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,2000XX W FULLERTON AVE,COMMERCIAL BUILDING,002,0222,4,38,1811,18,True,False
JC126668,Calvin Wilson,,2026-08-02 02:17:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5400XX W MADISON ST,,007,0724,16,68,051A,04A,False,False
JC126781,Brian Jackson,,2026-07-26 22:22:00,2026,CRIMINAL DAMAGE,TO PROPERTY,6300XX N CICERO AVE,COMMERCIAL BUILDING,012,1212,25,28,1310,14,False,False
JC126894,Jose Williams,,2026-04-01 08:03:00,2026,CRIMINAL DAMAGE,TO PROPERTY,4600XX W 47TH ST,RESIDENCE,020,2012,40,4,1310,14,False,False
JC127007,Hector Jackson,,2026-01-25 07:36:00,2026,ASSAULT,AGGRAVATED: HANDGUN,2300XX S MICHIGAN AVE,RESIDENCE,006,0623,6,69,051A,04A,False,False
JC127120,Darnell Martinez,IL-1188-RC,2026-01-23 22:22:00,2026,ROBBERY,ARMED: HANDGUN,2500XX W 79TH ST,RESTAURANT,017,1732,35,21,031A,03,False,False
JC127233,Tyler Miller,IL-1188-RC,2026-08-01 10:58:00,2026,BURGLARY,FORCIBLE ENTRY,4400XX W MADISON ST,PARKING LOT,006,0623,6,69,0610,05,False,False
JC127346,Dante Jones,,2026-06-03 11:45:00,2026,ASSAULT,AGGRAVATED: HANDGUN,1300XX W 79TH ST,GAS STATION / CONVENIENCE STORE,011,1124,28,26,051A,04A,False,False
JC127459,Trevon Moore,IL-8517-DD,2026-08-21 10:11:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,8600XX W CHICAGO AVE,APARTMENT,020,2012,40,4,0910,07,False,False
JC127572,Carlos Martin,,2026-01-06 19:20:00,2026,BURGLARY,FORCIBLE ENTRY,7300XX N KEDZIE AVE,DEPARTMENT STORE,004,0412,10,46,0610,05,False,False
JC127685,Lamar Washington,,2026-03-21 02:52:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,0200XX W FULLERTON AVE,RESIDENCE,009,0914,15,61,0910,07,False,False
JC127798,Maurice Wright,,2026-01-13 14:46:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5300XX N CLARK ST,ALLEY,017,1732,35,21,051A,04A,False,False
JC127911,Darius Washington,,2026-04-06 14:04:00,2026,THEFT,OVER $500,0300XX S HALSTED ST,GAS STATION / CONVENIENCE STORE,011,1124,28,26,0820,06,False,False
JC128024,Jose Hill,,2026-02-18 02:21:00,2026,CRIMINAL DAMAGE,TO PROPERTY,0400XX W 55TH ST,,015,1531,29,25,1310,14,False,False
JC128137,Darius Jenkins,,2026-04-07 13:44:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3700XX S COMMERCIAL AVE,RESIDENCE,010,1013,24,29,1811,18,True,False
JC128250,Aaron Hernandez,,2026-01-12 00:27:00,2026,BATTERY,SIMPLE ASSAULT,8500XX S HALSTED ST,COMMERCIAL BUILDING,024,2411,49,1,0460,08B,True,True
JD128363,Andre Wright,,2026-02-16 03:19:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6300XX S WESTERN AVE,GAS STATION / CONVENIENCE STORE,025,2515,30,19,051A,04A,False,False
JD128476,Gabriel Jenkins,,2026-03-15 01:16:00,2026,CRIMINAL DAMAGE,TO PROPERTY,3400XX W FULLERTON AVE,GAS STATION / CONVENIENCE STORE,008,0815,13,65,1310,14,False,False
JD128589,Damian Wright,,2026-06-26 17:26:00,2026,BURGLARY,FORCIBLE ENTRY,0800XX N CICERO AVE,RESTAURANT,014,1422,1,24,0610,05,False,False
JD128702,Calvin Torres,IL-3832-YE,2026-04-16 09:05:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0500XX W 55TH ST,COMMERCIAL BUILDING,018,1831,43,7,051A,04A,False,False
JD128815,Jamal Garcia,,2026-04-26 06:08:00,2026,THEFT,OVER $500,1100XX N PULASKI RD,ALLEY,025,2515,30,19,0820,06,False,False
JD128928,Isaiah Vance,,2026-02-03 12:35:00,2026,ASSAULT,AGGRAVATED: HANDGUN,4200XX N CICERO AVE,RESTAURANT,009,0914,15,61,051A,04A,False,False
JD129041,Darius Torres,,2026-07-04 13:09:00,2026,ROBBERY,ARMED: HANDGUN,7600XX W 79TH ST,SIDEWALK,020,2012,40,4,031A,03,False,False
JD129154,Deandre Thomas,,2026-06-14 08:24:00,2026,CRIMINAL DAMAGE,TO PROPERTY,7800XX W 79TH ST,STREET,017,1732,35,21,1310,14,False,False
JD129267,Aaron Thomas,,2026-07-02 12:56:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,3100XX W 55TH ST,BAR OR TAVERN,002,0222,4,38,0910,07,False,True
JD129380,Anthony Moore,,2026-05-10 08:53:00,2026,CRIMINAL DAMAGE,TO PROPERTY,8800XX W 55TH ST,RESIDENCE,004,0412,10,46,1310,14,False,False
JD129493,Adrian King,,2026-05-24 13:38:00,2026,BATTERY,SIMPLE ASSAULT,5700XX S COTTAGE GROVE AVE,ALLEY,007,0724,16,68,0460,08B,False,False
JD129606,Deandre Hernandez,IL-1488-CG,2026-03-03 09:45:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6800XX W MADISON ST,STREET,020,2012,40,4,051A,04A,False,True
JD129719,Malik Miller,IL-8775-PJ,2026-06-23 06:17:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,6500XX W FULLERTON AVE,,014,1422,1,24,0910,07,False,False
JD129832,Jose Torres,,2026-03-27 08:47:00,2026,BATTERY,SIMPLE ASSAULT,0400XX S HALSTED ST,STREET,014,1422,1,24,0460,08B,False,True
JD129945,Aaron Jones,IL-2169-PE,2026-04-22 06:17:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0300XX W 47TH ST,STREET,025,2515,30,19,051A,04A,False,False
JD130058,Darnell King,IL-7131-OP,2026-05-14 12:54:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,3300XX W FULLERTON AVE,DEPARTMENT STORE,007,0724,16,68,0910,07,False,False
JD130171,Dante Thomas,,2026-05-10 21:06:00,2026,CRIMINAL DAMAGE,TO PROPERTY,4400XX W BELMONT AVE,,009,0914,15,61,1310,14,False,False
JD130284,Dante Jones,,2026-05-07 04:33:00,2026,BURGLARY,FORCIBLE ENTRY,7700XX N MILWAUKEE AVE,,014,1422,1,24,0610,05,False,False
JD130397,Corey Gonzalez,,2026-05-14 12:24:00,2026,THEFT,OVER $500,9100XX W 79TH ST,RESIDENCE,020,2012,40,4,0820,06,False,False
JD130510,Darius Walker,,2026-06-17 09:54:00,2026,ROBBERY,ARMED: HANDGUN,7200XX S COMMERCIAL AVE,GAS STATION / CONVENIENCE STORE,006,0623,6,69,031A,03,False,False
JD130623,Darnell Harris,,2026-03-22 10:41:00,2026,BATTERY,SIMPLE ASSAULT,4600XX W CHICAGO AVE,BAR OR TAVERN,008,0815,13,65,0460,08B,False,True
JD130736,Brandon Walker,,2026-05-15 03:30:00,2026,THEFT,OVER $500,7500XX N KEDZIE AVE,COMMERCIAL BUILDING,020,2012,40,4,0820,06,False,False
JD130849,Damian Torres,,2026-07-17 09:26:00,2026,THEFT,OVER $500,1800XX W MADISON ST,PARKING LOT,007,0724,16,68,0820,06,False,False
JD130962,Tyler Vance,,2026-03-25 02:31:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,2300XX N KEDZIE AVE,,011,1124,28,26,0910,07,False,False
JD131075,Aaron Thompson,,2026-03-16 02:08:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5500XX N KEDZIE AVE,ALLEY,014,1422,1,24,051A,04A,True,False
JD131188,Lamar Gonzalez,,2026-01-11 16:12:00,2026,THEFT,OVER $500,0100XX S COMMERCIAL AVE,BAR OR TAVERN,024,2411,49,1,0820,06,False,False
JD131301,Isaiah King,,2026-07-17 18:19:00,2026,ROBBERY,ARMED: HANDGUN,0600XX W BELMONT AVE,GAS STATION / CONVENIENCE STORE,010,1013,24,29,031A,03,False,False
JD131414,Jerome Jones,,2026-03-11 15:22:00,2026,BURGLARY,FORCIBLE ENTRY,5200XX N CLARK ST,RESIDENCE,001,0111,42,32,0610,05,False,True
JD131527,Kendrick Jenkins,,2026-02-12 22:41:00,2026,THEFT,OVER $500,8200XX W ROOSEVELT RD,RESTAURANT,009,0914,15,61,0820,06,False,True
JD131640,Tyrone Walker,,2026-01-02 22:07:00,2026,ASSAULT,AGGRAVATED: HANDGUN,4900XX W FULLERTON AVE,RESTAURANT,004,0412,10,46,051A,04A,False,True
JD131753,Justin Jones,,2026-01-10 13:42:00,2026,BATTERY,SIMPLE ASSAULT,6700XX S COMMERCIAL AVE,COMMERCIAL BUILDING,009,0914,15,61,0460,08B,False,False
JD131866,Tyrone King,,2026-02-10 03:50:00,2026,BATTERY,SIMPLE ASSAULT,2600XX S WESTERN AVE,RESIDENCE,022,2213,19,72,0460,08B,False,True
JD131979,Marcus Vance,,2026-03-02 17:31:00,2026,BURGLARY,FORCIBLE ENTRY,6200XX W 55TH ST,RESIDENCE,011,1124,28,26,0610,05,False,False
JD132092,Jerome Ramirez,,2026-08-05 02:49:00,2026,BATTERY,SIMPLE ASSAULT,9300XX N DAMEN AVE,GAS STATION / CONVENIENCE STORE,004,0412,10,46,0460,08B,False,True
JD132205,Jalen Brown,IL-3793-IX,2026-02-27 05:55:00,2026,THEFT,OVER $500,4700XX S HALSTED ST,PARKING LOT,025,2515,30,19,0820,06,True,False
JD132318,Isaiah Thomas,IL-3732-CS,2026-05-24 02:23:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,1500XX N CLARK ST,ALLEY,014,1422,1,24,0910,07,False,False
JD132431,Kareem Martinez,,2026-01-28 05:06:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6200XX W 79TH ST,,020,2012,40,4,051A,04A,False,False
JD132544,Dante Vance,,2026-03-16 15:07:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0600XX W FULLERTON AVE,GAS STATION / CONVENIENCE STORE,003,0313,20,42,051A,04A,False,False
JD132657,Maurice Thompson,,2026-04-22 10:33:00,2026,BATTERY,SIMPLE ASSAULT,8500XX N PULASKI RD,DEPARTMENT STORE,008,0815,13,65,0460,08B,True,False
JD132770,Brandon Young,IL-7203-KG,2026-01-01 20:59:00,2026,ROBBERY,ARMED: HANDGUN,6100XX W 47TH ST,APARTMENT,017,1732,35,21,031A,03,False,False
JD132883,Adrian Miller,,2026-08-15 18:28:00,2026,BATTERY,SIMPLE ASSAULT,5800XX S WESTERN AVE,SIDEWALK,011,1124,28,26,0460,08B,True,True
JD132996,Isaiah Martin,,2026-01-27 02:50:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,7200XX W 47TH ST,,007,0724,16,68,1811,18,True,False
JD133109,Kareem Brown,IL-5374-SR,2026-08-11 17:49:00,2026,CRIMINAL DAMAGE,TO PROPERTY,8500XX W 55TH ST,BAR OR TAVERN,012,1212,25,28,1310,14,True,False
JD133222,Tyrone Flores,,2026-06-23 03:02:00,2026,ROBBERY,ARMED: HANDGUN,1800XX S WESTERN AVE,SIDEWALK,015,1531,29,25,031A,03,False,False
